id_track,duration_sec,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,bars,beats,sections,segments,tatums
3SWjpNMVUi5UXz096NbfPr,206.27737,0.22698,198.93117,-4.316,92.02,0.174,4,0.896,8,0.224,1,0.324,87,351,9,904,702
4B7mXGdCLQFulSxPTIEjPu,182.86336,0.17556,176.15237,-4.336,92.001,0.444,4,1.0,4,0.56,0,0.554,67,275,8,766,550
35COLcFjvONwVv6jkG23gI,136.01193,0.21447,131.7152,-4.86,164.163,0.817,4,1.0,5,0.334,1,0.255,91,366,6,552,732
2oNSHvGBGZIrZouRAA1eaX,170.39687,0.0,166.36517,-1.73,176.059,0.439,4,1.0,9,0.239,0,0.348,123,495,11,753,990
4a3LvPpAj6ogH7qSuPr5H6,180.78844,0.17497,177.74875,-4.392,110.075,0.837,4,1.0,6,0.662,0,0.666,81,328,10,727,656
7DByUXWmz1lQau0HLmdg1v,157.83714,0.21492,155.27763,-5.199,111.902,0.733,4,0.996,0,0.271,1,0.478,71,289,5,642,578
4PQ5AInr4YoBauth9YPduL,148.04857,0.20422,142.21642,-1.794,168.091,0.536,4,1.0,11,0.454,0,0.554,104,408,5,639,816
71fwkaKdNrxiZZbkzSqmFJ,176.19388,0.21474,172.30948,-5.529,150.016,0.389,4,0.88,0,0.485,0,0.471,109,431,11,737,862
6weT0OACEb3e4KLQJInf4I,180.15704,0.22027,173.33696,-2.928,141.913,0.945,4,1.0,1,0.502,1,0.629,103,416,9,696,832
3ujiq7yK4Uan5z4876fHLK,185.43736,0.07551,179.79791,-2.918,140.082,0.784,4,0.972,5,0.768,0,0.476,106,429,9,588,858
6l6qbSwlEAWRGfbL5sf8y8,143.6,0.0,134.11845,-4.327,149.789,0.396,4,0.881,4,0.352,0,0.407,85,341,5,544,682
5ucyKDPjLpYLGadsRO1wSB,185.70667,0.07556,179.79791,-3.468,140.067,0.842,4,0.978,5,0.742,0,0.444,107,428,8,583,856
3T4DdPVqWeaC4U7vrIxlKz,207.30113,0.55147,202.77986,-2.418,137.957,0.845,4,0.996,0,0.567,1,0.556,118,475,8,818,950
6sS77FZh2eJfYBsFUW6hjI,225.88231,0.48766,221.80862,-1.131,136.036,0.774,4,1.0,8,0.281,1,0.455,124,503,12,802,1006
10DprkMsmXraJX2pACoZGw,214.90321,0.0,209.94322,-6.944,145.004,0.309,3,0.028,3,0.0,0,0.0,169,511,10,740,1022
5bAYcyOEQP8vuQFK7fPWcc,190.0,0.58639,180.45387,-2.568,133.993,0.556,4,0.436,0,0.615,1,0.499,101,404,10,711,808
7gzdjkagK3pTVW8jYjcYBF,139.15927,0.0,135.26785,-5.738,138.069,0.224,4,0.938,0,0.271,1,0.417,78,314,7,529,628
4h9wh7iOZ0GGn8QVp4RAOB,148.48586,0.24376,145.26984,-5.927,139.994,0.795,4,1.0,0,0.533,1,0.589,83,339,7,592,678
72yP0DUlWPyH8P7IoxskwN,202.24585,0.22068,193.06232,-4.602,126.041,0.826,4,1.0,0,0.731,1,0.624,104,414,9,807,828
